iter	Passed	Remaining
171	3315	6323
172	3334	6303
173	3354	6284
174	3372	6263
175	3391	6243
176	3410	6224
177	3429	6204
178	3449	6186
179	3468	6166
180	3488	6147
181	3506	6127
182	3525	6107
183	3544	6087
184	3563	6068
185	3582	6048
186	3601	6028
187	3620	6008
188	3640	5990
189	3659	5971
190	3678	5951
191	3698	5932
192	3716	5912
193	3737	5894
194	3758	5879
195	3779	5862
196	3801	5847
197	3823	5831
198	3844	5814
199	3865	5798
200	3885	5780
201	3904	5759
202	3923	5739
203	3942	5719
204	3961	5701
205	3982	5683
206	4001	5663
207	4019	5643
208	4040	5625
209	4059	5605
210	4078	5585
211	4097	5566
212	4116	5546
213	4135	5526
214	4153	5506
215	4173	5486
216	4193	5468
217	4212	5448
218	4230	5428
219	4249	5408
220	4268	5389
221	4288	5370
222	4307	5350
223	4325	5329
224	4344	5309
225	4363	5289
226	4382	5270
227	4401	5250
228	4420	5231
229	4439	5211
230	4459	5192
231	4478	5173
232	4497	5153
233	4518	5135
234	4538	5118
235	4558	5098
236	4576	5079
237	4595	5058
238	4614	5039
239	4633	5019
240	4651	4999
241	4671	4980
242	4689	4960
243	4709	4941
244	4729	4922
245	4747	4902
246	4767	4882
247	4787	4865
248	4806	4845
249	4825	4825
250	4845	4807
251	4866	4789
252	4885	4769
253	4904	4750
254	4924	4731
255	4943	4711
256	4961	4691
257	4981	4672
258	5001	4653
259	5019	4633
260	5038	4613
261	5057	4594
262	5075	4574
263	5095	4554
264	5114	4535
265	5132	4515
266	5152	4495
267	5170	4476
268	5190	4457
269	5209	4437
270	5228	4418
271	5247	4398
272	5267	4379
273	5285	4359
274	5305	4340
275	5325	4321
276	5344	4302
277	5362	4282
278	5382	4263
279	5400	4243
280	5419	4223
281	5438	4203
282	5456	4183
283	5475	4164
284	5495	4145
285	5514	4126
286	5534	4107
287	5552	4087
288	5571	4067
289	5590	4048
290	5609	4028
291	5628	4009
292	5647	3989
293	5668	3971
294	5687	3952
295	5706	3933
296	5727	3914
297	5746	3895
298	5765	3875
299	5784	3856
300	5803	3836
301	5822	3817
302	5841	3798
303	5861	3778
304	5879	3759
305	5899	3740
306	5918	3720
307	5936	3700
308	5956	3681
309	5976	3662
310	5995	3643
311	6014	3624
312	6032	3604
313	6051	3584
314	6070	3565
315	6089	3545
316	6108	3526
317	6127	3506
318	6146	3487
319	6165	3468
320	6183	3448
321	6202	3428
322	6221	3409
323	6240	3389
324	6259	3370
325	6279	3351
326	6298	3332
327	6316	3312
328	6336	3293
329	6355	3273
330	6374	3254
331	6392	3234
332	6410	3214
333	6430	3195
334	6448	3176
335	6467	3156
336	6485	3136
337	6504	3117
338	6524	3098
339	6543	3079
340	6562	3059
341	6580	3040
342	6599	3020
343	6618	3001
344	6636	2981
345	6656	2962
346	6674	2943
347	6694	2923
348	6712	2904
349	6731	2884
350	6750	2865
351	6769	2846
352	6792	2828
353	6814	2810
354	6833	2791
355	6853	2772
356	6872	2752
357	6890	2733
358	6909	2713
359	6928	2694
360	6947	2675
361	6969	2656
362	6991	2638
363	7014	2620
364	7036	2602
365	7059	2584
366	7080	2565
367	7109	2550
368	7132	2532
369	7152	2513
370	7173	2494
371	7194	2475
372	7216	2456
373	7236	2438
374	7263	2421
375	7285	2402
376	7309	2384
377	7329	2365
378	7348	2346
379	7367	2326
380	7386	2307
381	7404	2287
382	7423	2267
383	7442	2248
384	7460	2228
385	7479	2209
386	7498	2189
387	7518	2170
388	7537	2150
389	7556	2131
390	7574	2111
391	7594	2092
392	7612	2072
393	7631	2053
394	7651	2033
395	7671	2014
396	7690	1995
397	7709	1975
398	7727	1956
399	7746	1936
400	7766	1917
401	7785	1897
402	7804	1878
403	7822	1858
